"","Rank","Title","Description","Runtime","Rating","Votes","Gross","Director","Actor","Metascore","Genre","Genre2","Genre3"
"1",1,"London Has Fallen","    In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.",99,5.9,128554,62.68,"Babak Najafi","Gerard Butler",28,"Action","Thriller",NA
"2",2,"Suicide Squad","    A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.",123,6,543505,325.1,"David Ayer","Will Smith",40,"Action","Adventure","Fantasy"
"3",3,"Captain America: Civil War","    Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.",147,7.8,599020,408,"Anthony Russo","Chris Evans",75,"Action","Adventure","Sci"
"4",4,"Hacksaw Ridge","    World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",139,8.1,376069,67.21,"Mel Gibson","Andrew Garfield",71,"Biography","Drama","History"
"5",5,"Deadpool","    A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",108,8,835588,363,"Tim Miller","Ryan Reynolds",65,"Action","Adventure","Comedy"
"6",6,"Sing","    In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",108,7.1,119139,270.4,"Garth Jennings","Matthew McConaughey",59,"Animation","Comedy","Family"
"7",7,"Rogue One","    The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.",133,7.8,487308,532.1,"Gareth Edwards","Felicity Jones",65,"Action","Adventure","Sci"
"8",8,"X-Men: Apocalypse","    In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",144,6.9,364887,155.4,"Bryan Singer","James McAvoy",52,"Action","Adventure","Sci"
"9",9,"Moana","    In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",107,7.6,231038,248.7,"Ron Clements","Auli'i Cravalho",81,"Animation","Adventure","Comedy"
"10",10,"Doctor Strange","    While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",115,7.5,531239,232.6,"Scott Derrickson","Benedict Cumberbatch",72,"Action","Adventure","Fantasy"
"11",11,"La La Land","    While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",128,8,445322,151.1,"Damien Chazelle","Ryan Gosling",93,"Comedy","Drama","Music"
"12",12,"The Accountant","    As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",128,7.3,237084,86.26,"Gavin O'Connor","Ben Affleck",51,"Action","Crime","Drama"
"13",13,"The Secret Life of Pets","    The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",87,6.5,167483,368.3,"Chris Renaud","Louis C.K.",61,"Animation","Adventure","Comedy"
"14",14,"The Nice Guys","    In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",116,7.4,245802,36.26,"Shane Black","Russell Crowe",70,"Action","Comedy","Crime"
"15",15,"Nocturnal Animals","    A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",116,7.5,210133,10.64,"Tom Ford","Amy Adams",67,"Drama","Thriller",NA
"16",16,"Split","    Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.",117,7.3,370841,138.2,"M. Night Shyamalan","James McAvoy",62,"Horror","Thriller",NA
"17",17,"Me Before You","    A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.",106,7.4,180122,56.25,"Thea Sharrock","Emilia Clarke",51,"Drama","Romance",NA
"18",18,"Kimi no na wa.","    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",106,8.4,142089,5.02,"Makoto Shinkai","Ryûnosuke Kamiki",79,"Animation","Drama","Fantasy"
"19",19,"Zootopia","    In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",108,8,391191,341.2,"Byron Howard","Ginnifer Goodwin",78,"Animation","Adventure","Comedy"
"20",20,"Arrival","    A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.",116,7.9,527432,100.5,"Denis Villeneuve","Amy Adams",81,"Drama","Mystery","Sci"
"21",21,"The Shallows","    A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",86,6.3,109599,55.12,"Jaume Collet-Serra","Blake Lively",59,"Drama","Horror","Thriller"
"22",22,"Batman v Superman: Dawn of Justice","    Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",151,6.5,584119,330.3,"Zack Snyder","Ben Affleck",44,"Action","Adventure","Sci"
"23",23,"Moonlight","    A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",111,7.4,234034,27.85,"Barry Jenkins","Mahershala Ali",99,"Drama",NA,NA
"24",24,"Jack Reacher: Never Go Back","    Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.",118,6.1,124461,58.7,"Edward Zwick","Tom Cruise",47,"Action","Crime","Thriller"
"25",25,"Contratiempo","    While the clock is ticking, with the aid of a witness preparation expert, a successful entrepreneur accused of murder has less than three hours to come up with an impregnable defence.",106,8.1,89742,NA,"Oriol Paulo","Mario Casas",NA,"Crime","Mystery","Thriller"
"26",26,"Fantastic Beasts and Where to Find Them","    The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.",132,7.3,372314,234,"David Yates","Eddie Redmayne",66,"Adventure","Family","Fantasy"
